Date,Metric,Value
1/1/18,Cn,0.98630137
2/1/18,Cn,0.98630137
3/1/18,Cn,0.972972973
4/1/18,Cn,0.947368421
5/1/18,Cn,1.441860465
6/1/18,Cn,4.650793651
7/1/18,Cn,5.977900552
8/1/18,Cn,6.28
9/1/18,Cn,7.281105991
10/1/18,Cn,7.757575758
11/1/18,Cn,8.12605042
12/1/18,Cn,8.572580645
1/1/18,Id,0.095890411
2/1/18,Id,0.095890411
3/1/18,Id,0.094594595
4/1/18,Id,0.092105263
5/1/18,Id,0.662790698
6/1/18,Id,66.93650794
7/1/18,Id,90.26519337
8/1/18,Id,107.665
9/1/18,Id,118.2672811
10/1/18,Id,123.2813853
11/1/18,Id,127.8403361
12/1/18,Id,140.2298387
1/1/18,Rn,0
2/1/18,Rn,0
3/1/18,Rn,3
4/1/18,Rn,3
5/1/18,Rn,3
6/1/18,Rn,61.73015873
7/1/18,Rn,139.198895
8/1/18,Rn,164.055
9/1/18,Rn,185.1105991
10/1/18,Rn,189.7402597
11/1/18,Rn,200.2773109
12/1/18,Rn,214.1814516